created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Oct 21 23:14:29 +0000 2023;1715869191637708832;"@harris_new2 @Fahrihamzah @gibran_tweet Orang mencla mencle di hasilkan dari mencla mencle juga. Kalau pilih temen,lihatlah temen sekitarnya  #menclaMencle";0;0;0;0;in;1218597897425444864;1715741272831676699;HudTukimin;https://twitter.com/HudTukimin/status/1715869191637708832
Sat Oct 21 23:14:29 +0000 2023;1715869190652084600;"@ch_chotimah2 @Fahrihamzah Emank hanya kubu kalian yg bisa di calonkan..maju gibran..saatnya anak muda jdi pemimpin bangsa..";0;0;0;0;in;1700289902930489344;1715553799224557989;HajirTowal97900;https://twitter.com/HajirTowal97900/status/1715869190652084600
Sat Oct 21 23:14:23 +0000 2023;1715869167772193000;"@Bank_Joee_ Dlm politik hal lumrah apa yg dilakukan Gibran, hanya saja jika mampu mengangkat suara tingkat nasional itu apresiasi, jika tidak ya ga masalah, insya Allah Jokowi org baik kita hrs hormati kpd beliau.";0;0;0;0;in;1548845006534115329;1715351605229539659;prasetyos500;https://twitter.com/prasetyos500/status/1715869167772193000
Sat Oct 21 23:14:16 +0000 2023;1715869139871682674;"@vctrkmng Skill fotografinya Gibran emg keren sih, pantes ditunjuk jadi jadi Juru kamera.";0;0;1;0;in;44086353;1715821016876995009;MonaliissaMee;https://twitter.com/MonaliissaMee/status/1715869139871682674
Sat Oct 21 23:14:13 +0000 2023;1715869126214955352;"@anismatta @gibran_tweet Betapa rusaknya kalian ... Rusak serusak rusaknya...";0;0;0;0;in;1229439048030146563;1715742425761865756;AtmajaYenko;https://twitter.com/AtmajaYenko/status/1715869126214955352
Sat Oct 21 23:14:10 +0000 2023;1715869111899816263;"@Dennysiregar7 Nanti giliran Prabowo mengorbitkan anaknya : Didit. Gibran lugu didepak lah ! Balik lagi ke Solo . . Walkot lagi . . itu pun kalo msh laku !";0;0;0;0;in;125911074;1715702437661557092;pitersim;https://twitter.com/pitersim/status/1715869111899816263
Sat Oct 21 23:14:08 +0000 2023;1715869102944948630;"@harris_new2 @Fahrihamzah @gibran_tweet Ini penjilat ngomongin penjilat";0;0;0;0;in;888436870798954496;1715741272831676699;Alhaque44;https://twitter.com/Alhaque44/status/1715869102944948630
Sat Oct 21 23:13:36 +0000 2023;1715868969121587423;"@armangn8 @golkar_id @airlangga_hrt @gibran_tweet Itu gokar nyalonin gibran sukarela atau ada tekanan ?";0;0;0;0;in;3229518067;1715675319318069295;MencariSejati28;https://twitter.com/MencariSejati28/status/1715868969121587423
Sat Oct 21 23:13:33 +0000 2023;1715868958501515418;"@Fahrihamzah @gibran_tweet Bung fahri hamzah sdh lupa dgn kasus rontoknya kekuasaan otoriter Soeharto atau memang sngaja amnesia. Pemimpin yg baik itu ucapan dan prbuatan selaras. Lalu bgmn dgn @gibran_tweet yg omongan pagi A siang B dan klakuanya X? Stiap kputusan ada resikonya";0;1;0;1;in;1308817261684092929;1715741272831676699;kevynsaverio;https://twitter.com/kevynsaverio/status/1715868958501515418
Sat Oct 21 23:13:32 +0000 2023;1715868954269499755;"@SBYudhoyono Siap turun gunung memenangkan prabowo-gibran";0;0;0;0;in;1250408837577752576;1715762380578447488;Bandit__Istana;https://twitter.com/Bandit__Istana/status/1715868954269499755
Sat Oct 21 23:13:30 +0000 2023;1715868943594954908;"@ch_chotimah2 @gibran_tweet dulu juga bapaknya bilang gt copras capres...lu sembahkan..sekarang mau lu khianati bapaknya demi si nenek mega...bagus tuh si boneka gak mau terus dikadalin nenek2";0;0;0;0;in;17586774;1715724462618996900;bragazoel;https://twitter.com/bragazoel/status/1715868943594954908
Sat Oct 21 23:13:29 +0000 2023;1715868942068240805;"@SBYudhoyono Nasib Demokrat demikian menyayat hati. Keluar dari koalisi Anies Baswedan masuk ke koalisi Prabowo dg cawapres Gibran. Apa yang bisa kalian banggakan.";0;0;0;8;in;1004481606302646272;1715762380578447488;WiyonoHw;https://twitter.com/WiyonoHw/status/1715868942068240805
Sat Oct 21 23:13:22 +0000 2023;1715868912532046267;"@Resty_J_Cayah Gerakannya kurang cepat. Issue RK - AHY. Yg bilang kuda hitam. Tp gagal. Tp makin lama makin seru nih. Jadi penasaran what next ? PDIP,  Megawati, Jokowi, Prabowo, SBY, AHY, Gibran? Mereka seperti saling bertarung ? Benarkah ? Tdk ada yg tahu. Sptnya rukun aja.";0;0;0;1;in;38128904;1715748442532925752;wisnudjati;https://twitter.com/wisnudjati/status/1715868912532046267
Sat Oct 21 23:13:18 +0000 2023;1715868893447864676;"@tribunnews Kemungkinan besar Gibran tak berani mencalonkan diri sebagai CAWAPRES Prabowo, dan Prabowo (KIM) juga tak berani mencalonkan Gibran sebagai CAWAPRES untuk mendampingi CAPRES Prabowo S. Karena ada ancaman sanksi partai utk anggota yg membangkang sambil memberikan tawaran menteri.";0;0;0;0;in;98419575;1715867512993403341;muh_haddad;https://twitter.com/muh_haddad/status/1715868893447864676
Sat Oct 21 23:13:17 +0000 2023;1715868889991741747;"@Miduk17 @Joker_Wedoks emang gak capek, bang Jhon .. ngomongin gibran terus dari pagi hingga pagi lagi,  mending fokus menangkan Ganjar - Mahfud 👍💪 https://t.co/KJ0dJ7xDIG";0;0;1;0;in;1003882487020339200;1715757047369875915;mantan_kadrun;https://twitter.com/mantan_kadrun/status/1715868889991741747
Sat Oct 21 23:13:13 +0000 2023;1715868873696895131;"@gibran_tweet Mencla mencle ketemu mencla mencle.... politik Yo politik... Tapi Ono etiket e";0;0;0;0;in;468388183;1715757265888960853;YuzzMacious;https://twitter.com/YuzzMacious/status/1715868873696895131
Sat Oct 21 23:13:10 +0000 2023;1715868862284194004;"@anismatta @gibran_tweet jika tdk di bantu loloskan mereka bukan saja rugi materi  tapi bisa masuk RSJ berjamaah kali ya..❓😅 https://t.co/drXcuPz6Nu";0;1;2;8;in;1609200118409854978;1715742425761865756;toni70427573;https://twitter.com/toni70427573/status/1715868862284194004
Sat Oct 21 23:13:08 +0000 2023;1715868853371306445;"@Fahrihamzah @gibran_tweet Awokwokwok";0;0;0;0;in;90879355;1715741272831676699;arisuryo;https://twitter.com/arisuryo/status/1715868853371306445
